without smoothing 
correct ans : stuck, prediction is: reply
correct ans : found, prediction is: know
correct ans : took, prediction is: took
correct ans : tell, prediction is: 'm
correct ans : said, prediction is: said
correct ans : pine, prediction is: pine
correct ans : killed, prediction is: told
correct ans : came, prediction is: came
correct ans : knows, prediction is: is
correct ans : replied, prediction is: said
correct ans : think, prediction is: tell
correct ans : replied, prediction is: said
correct ans : said, prediction is: said
correct ans : said, prediction is: said
correct ans : said, prediction is: 're
correct ans : think, prediction is: think
correct ans : went, prediction is: said
correct ans : wanted, prediction is: wanted
correct ans : fought, prediction is: felt
correct ans : went, prediction is: come
correct ans : said, prediction is: said
correct ans : rode, prediction is: came
correct ans : said, prediction is: said
correct ans : get, prediction is: saw
correct ans : reached, prediction is: took
correct ans : show, prediction is: give
correct ans : round, prediction is: round
correct ans : fear, prediction is: am
correct ans : went, prediction is: know
correct ans : falling, prediction is: looking
correct ans : led, prediction is: drew
correct ans : said, prediction is: said
correct ans : said, prediction is: said
correct ans : see, prediction is: go
correct ans : chuckled, prediction is: found
correct ans : spent, prediction is: gone
correct ans : look, prediction is: say
correct ans : called, prediction is: said
correct ans : answered, prediction is: answered
correct ans : took, prediction is: let
correct ans : gave, prediction is: went
correct ans : lives, prediction is: see
correct ans : ran, prediction is: took
correct ans : said, prediction is: said
correct ans : called, prediction is: go
correct ans : hope, prediction is: know
correct ans : made, prediction is: made
correct ans : felt, prediction is: thought
correct ans : became, prediction is: became
correct ans : said, prediction is: said
correct ans : coming, prediction is: made
correct ans : play, prediction is: went
correct ans : made, prediction is: asked
correct ans : written, prediction is: hurt
correct ans : doing, prediction is: doing
correct ans : grown, prediction is: grown
correct ans : doing, prediction is: came
correct ans : put, prediction is: put
correct ans : said, prediction is: said
correct ans : knew, prediction is: knew
correct ans : answered, prediction is: answered
correct ans : see, prediction is: see
correct ans : went, prediction is: said
correct ans : says, prediction is: went
correct ans : asked, prediction is: asked
correct ans : said, prediction is: said
correct ans : am, prediction is: am
correct ans : said, prediction is: said
correct ans : know, prediction is: think
correct ans : went, prediction is: went
correct ans : see, prediction is: know
correct ans : make, prediction is: see
correct ans : led, prediction is: made
correct ans : came, prediction is: came
correct ans : leave, prediction is: tell
correct ans : told, prediction is: went
correct ans : said, prediction is: said
correct ans : pecked, prediction is: found
correct ans : seen, prediction is: seen
correct ans : cried, prediction is: replied
correct ans : feeling, prediction is: go
correct ans : came, prediction is: came
correct ans : see, prediction is: went
correct ans : sprang, prediction is: sprang
correct ans : decided, prediction is: told
correct ans : know, prediction is: know
correct ans : said, prediction is: said
correct ans : saw, prediction is: saw
correct ans : come, prediction is: come
correct ans : looked, prediction is: said
correct ans : said, prediction is: said
correct ans : lost, prediction is: lost
correct ans : gave, prediction is: said
correct ans : told, prediction is: said
correct ans : guess, prediction is: hope
correct ans : carried, prediction is: took
correct ans : made, prediction is: made
correct ans : saw, prediction is: set
correct ans : think, prediction is: say
correct ans : sought, prediction is: reached
correct ans : came, prediction is: came
correct ans : see, prediction is: see
correct ans : put, prediction is: go
correct ans : said, prediction is: said
correct ans : said, prediction is: said
correct ans : considered, prediction is: ended
correct ans : run, prediction is: think
correct ans : write, prediction is: write
correct ans : heard, prediction is: heard
correct ans : said, prediction is: said
correct ans : said, prediction is: said
correct ans : know, prediction is: know
correct ans : see, prediction is: see
correct ans : sobbed, prediction is: said
correct ans : hoped, prediction is: came
correct ans : seen, prediction is: sat
correct ans : wrote, prediction is: said
correct ans : informed, prediction is: made
correct ans : scowled, prediction is: came
correct ans : contributes, prediction is: made
correct ans : saw, prediction is: saw
correct ans : seen, prediction is: tell
correct ans : see, prediction is: see
correct ans : said, prediction is: said
correct ans : told, prediction is: went
correct ans : do, prediction is: do
correct ans : lead, prediction is: say
correct ans : came, prediction is: knew
correct ans : changed, prediction is: caught
correct ans : eat, prediction is: said
correct ans : called, prediction is: called
correct ans : see, prediction is: see
correct ans : make, prediction is: make
correct ans : said, prediction is: said
correct ans : said, prediction is: said
correct ans : replied, prediction is: answered
correct ans : think, prediction is: think
correct ans : think, prediction is: do
correct ans : said, prediction is: said
correct ans : think, prediction is: am
correct ans : made, prediction is: went
correct ans : called, prediction is: went
correct ans : seeing, prediction is: come
correct ans : answered, prediction is: answered
correct ans : know, prediction is: 'm
correct ans : meet, prediction is: meet
correct ans : go, prediction is: go
correct ans : said, prediction is: said
correct ans : thinking, prediction is: thinking
correct ans : dove, prediction is: dove
correct ans : said, prediction is: said
correct ans : said, prediction is: said
correct ans : sat, prediction is: sat
correct ans : said, prediction is: said
correct ans : whistle, prediction is: whistle
correct ans : supposed, prediction is: locked
correct ans : passed, prediction is: said
correct ans : come, prediction is: come
correct ans : born, prediction is: heard
correct ans : felt, prediction is: felt
correct ans : know, prediction is: know
correct ans : said, prediction is: said
correct ans : stay, prediction is: stay
correct ans : taken, prediction is: made
correct ans : lying, prediction is: made
correct ans : heard, prediction is: heard
correct ans : came, prediction is: said
correct ans : match, prediction is: tell
correct ans : make, prediction is: go
correct ans : said, prediction is: do
correct ans : said, prediction is: said
correct ans : tell, prediction is: came
correct ans : let, prediction is: go
correct ans : said, prediction is: said
correct ans : touched, prediction is: know
correct ans : called, prediction is: sent
correct ans : said, prediction is: think
correct ans : saw, prediction is: saw
correct ans : said, prediction is: heard
correct ans : said, prediction is: said
correct ans : give, prediction is: come
correct ans : bring, prediction is: go
correct ans : said, prediction is: said
