without smoothing 
correct ans : stuck, prediction is: stuck
correct ans : found, prediction is: found
correct ans : took, prediction is: took
correct ans : tell, prediction is: tell
correct ans : said, prediction is: said
correct ans : pine, prediction is: pine
correct ans : killed, prediction is: killed
correct ans : came, prediction is: came
correct ans : knows, prediction is: knows
correct ans : replied, prediction is: said
correct ans : think, prediction is: tell
correct ans : replied, prediction is: said
correct ans : said, prediction is: said
correct ans : said, prediction is: said
correct ans : said, prediction is: 're
correct ans : think, prediction is: think
correct ans : went, prediction is: went
correct ans : wanted, prediction is: wanted
correct ans : fought, prediction is: fought
correct ans : went, prediction is: come
correct ans : said, prediction is: said
correct ans : rode, prediction is: rode
correct ans : said, prediction is: said
correct ans : cried, prediction is: 
correct ans : get, prediction is: lay
correct ans : reached, prediction is: reached
correct ans : show, prediction is: show
correct ans : round, prediction is: round
correct ans : fear, prediction is: give
correct ans : went, prediction is: went
correct ans : falling, prediction is: looking
correct ans : led, prediction is: led
correct ans : said, prediction is: said
correct ans : said, prediction is: said
correct ans : see, prediction is: see
correct ans : chuckled, prediction is: found
correct ans : spent, prediction is: spent
correct ans : look, prediction is: look
correct ans : called, prediction is: said
correct ans : answered, prediction is: answered
correct ans : took, prediction is: took
correct ans : gave, prediction is: gave
correct ans : lives, prediction is: rode
correct ans : ran, prediction is: knew
correct ans : said, prediction is: said
correct ans : called, prediction is: called
correct ans : hope, prediction is: said
correct ans : made, prediction is: made
correct ans : felt, prediction is: felt
correct ans : became, prediction is: became
correct ans : said, prediction is: said
correct ans : cried, prediction is: 
correct ans : coming, prediction is: coming
correct ans : play, prediction is: listen
correct ans : made, prediction is: made
correct ans : written, prediction is: hurt
correct ans : doing, prediction is: doing
correct ans : grown, prediction is: grown
correct ans : doing, prediction is: doing
correct ans : put, prediction is: put
correct ans : said, prediction is: said
correct ans : knew, prediction is: knew
correct ans : answered, prediction is: answered
correct ans : see, prediction is: tell
correct ans : went, prediction is: went
correct ans : says, prediction is: went
correct ans : asked, prediction is: asked
correct ans : said, prediction is: said
correct ans : am, prediction is: am
correct ans : said, prediction is: said
correct ans : know, prediction is: know
correct ans : went, prediction is: went
correct ans : see, prediction is: see
correct ans : make, prediction is: see
correct ans : led, prediction is: made
correct ans : came, prediction is: came
correct ans : leave, prediction is: tell
correct ans : told, prediction is: told
correct ans : said, prediction is: said
correct ans : pecked, prediction is: found
correct ans : seen, prediction is: seen
correct ans : cried, prediction is: cried
correct ans : feeling, prediction is: go
correct ans : came, prediction is: came
correct ans : see, prediction is: see
correct ans : sprang, prediction is: sprang
correct ans : decided, prediction is: decided
correct ans : know, prediction is: know
correct ans : said, prediction is: said
correct ans : saw, prediction is: told
correct ans : come, prediction is: come
correct ans : looked, prediction is: said
correct ans : said, prediction is: said
correct ans : lost, prediction is: lost
correct ans : gave, prediction is: gave
correct ans : told, prediction is: told
correct ans : guess, prediction is: guess
correct ans : said, prediction is: 
correct ans : carried, prediction is: carried
correct ans : made, prediction is: made
correct ans : saw, prediction is: saw
correct ans : think, prediction is: say
correct ans : sought, prediction is: ordered
correct ans : came, prediction is: came
correct ans : see, prediction is: see
correct ans : put, prediction is: go
correct ans : said, prediction is: said
correct ans : said, prediction is: 
correct ans : considered, prediction is: considered
correct ans : run, prediction is: run
correct ans : write, prediction is: write
correct ans : heard, prediction is: heard
correct ans : said, prediction is: said
correct ans : said, prediction is: said
correct ans : know, prediction is: know
correct ans : see, prediction is: see
correct ans : sobbed, prediction is: said
correct ans : hoped, prediction is: came
correct ans : seen, prediction is: seen
correct ans : wrote, prediction is: said
correct ans : informed, prediction is: made
correct ans : scowled, prediction is: scowled
correct ans : contributes, prediction is: made
correct ans : saw, prediction is: lay
correct ans : seen, prediction is: tell
correct ans : see, prediction is: see
correct ans : said, prediction is: said
correct ans : told, prediction is: told
correct ans : do, prediction is: do
correct ans : lead, prediction is: bring
correct ans : came, prediction is: came
correct ans : changed, prediction is: changed
correct ans : eat, prediction is: said
correct ans : called, prediction is: called
correct ans : see, prediction is: see
correct ans : make, prediction is: make
correct ans : said, prediction is: said
correct ans : said, prediction is: said
correct ans : replied, prediction is: answered
correct ans : think, prediction is: talk
correct ans : think, prediction is: said
correct ans : said, prediction is: said
correct ans : think, prediction is: think
correct ans : made, prediction is: answered
correct ans : called, prediction is: gave
correct ans : seeing, prediction is: seeing
correct ans : answered, prediction is: answered
correct ans : know, prediction is: 'm
correct ans : meet, prediction is: meet
correct ans : go, prediction is: go
correct ans : said, prediction is: said
correct ans : thinking, prediction is: thinking
correct ans : dove, prediction is: dove
correct ans : said, prediction is: said
correct ans : said, prediction is: said
correct ans : sat, prediction is: sat
correct ans : said, prediction is: said
correct ans : whistle, prediction is: whistle
correct ans : supposed, prediction is: supposed
correct ans : passed, prediction is: passed
correct ans : come, prediction is: come
correct ans : born, prediction is: see
correct ans : felt, prediction is: felt
correct ans : know, prediction is: guess
correct ans : said, prediction is: said
correct ans : stay, prediction is: stay
correct ans : taken, prediction is: taken
correct ans : lying, prediction is: lying
correct ans : heard, prediction is: heard
correct ans : asked, prediction is: 
correct ans : came, prediction is: went
correct ans : match, prediction is: match
correct ans : make, prediction is: make
correct ans : said, prediction is: said
correct ans : said, prediction is: said
correct ans : asked, prediction is: 
correct ans : tell, prediction is: tell
correct ans : let, prediction is: go
correct ans : said, prediction is: said
correct ans : touched, prediction is: touched
correct ans : called, prediction is: called
correct ans : said, prediction is: mean
correct ans : saw, prediction is: saw
correct ans : said, prediction is: heard
correct ans : said, prediction is: said
correct ans : give, prediction is: give
correct ans : bring, prediction is: bring
correct ans : said, prediction is: said
correct ans : made, prediction is: told
correct ans : come, prediction is: come
correct ans : asked, prediction is: asked
correct ans : said, prediction is: cried
correct ans : brave, prediction is: look
correct ans : tell, prediction is: tell
correct ans : cried, prediction is: came
correct ans : answered, prediction is: answered
correct ans : came, prediction is: came
correct ans : said, prediction is: said
correct ans : saw, prediction is: said
correct ans : let, prediction is: make
correct ans : think, prediction is: think
correct ans : read, prediction is: read
correct ans : laughed, prediction is: looked
correct ans : set, prediction is: set
correct ans : know, prediction is: know
correct ans : let, prediction is: let
correct ans : sat, prediction is: thought
correct ans : said, prediction is: said
correct ans : gave, prediction is: gave
correct ans : wrote, prediction is: cried
correct ans : said, prediction is: said
correct ans : pine, prediction is: thought
correct ans : brave, prediction is: forgot
correct ans : asked, prediction is: asked
correct ans : got, prediction is: got
correct ans : said, prediction is: said
correct ans : laughed, prediction is: laughed
correct ans : said, prediction is: said
correct ans : burning, prediction is: burning
correct ans : brought, prediction is: brought
correct ans : thrown, prediction is: thrown
correct ans : add, prediction is: add
correct ans : saw, prediction is: saw
correct ans : know, prediction is: know
correct ans : lamented, prediction is: asked
correct ans : come, prediction is: come
correct ans : went, prediction is: went
correct ans : called, prediction is: called
correct ans : know, prediction is: know
correct ans : ask, prediction is: gave
correct ans : heard, prediction is: heard
correct ans : know, prediction is: know
correct ans : said, prediction is: said
correct ans : come, prediction is: come
correct ans : neighed, prediction is: neighed
correct ans : said, prediction is: sat
correct ans : said, prediction is: said
correct ans : said, prediction is: said
correct ans : told, prediction is: told
correct ans : think, prediction is: forget
correct ans : says, prediction is: says
correct ans : said, prediction is: said
correct ans : said, prediction is: said
correct ans : heard, prediction is: saw
correct ans : see, prediction is: see
correct ans : run, prediction is: run
correct ans : go, prediction is: go
correct ans : went, prediction is: went
correct ans : followed, prediction is: followed
correct ans : scurried, prediction is: scurried
correct ans : go, prediction is: 
correct ans : cried, prediction is: 
correct ans : come, prediction is: come
correct ans : found, prediction is: meet
correct ans : said, prediction is: said
correct ans : barked, prediction is: stopped
correct ans : make, prediction is: make
correct ans : went, prediction is: went
correct ans : make, prediction is: make
correct ans : know, prediction is: know
correct ans : said, prediction is: said
correct ans : got, prediction is: went
correct ans : saw, prediction is: saw
correct ans : love, prediction is: do
correct ans : see, prediction is: see
correct ans : came, prediction is: came
correct ans : went, prediction is: went
correct ans : said, prediction is: said
correct ans : come, prediction is: got
correct ans : answered, prediction is: answered
correct ans : let, prediction is: let
correct ans : said, prediction is: said
correct ans : said, prediction is: said
correct ans : thought, prediction is: thought
correct ans : says, prediction is: says
correct ans : said, prediction is: said
correct ans : ran, prediction is: ran
correct ans : said, prediction is: said
correct ans : take, prediction is: take
correct ans : puffed, prediction is: puffed
correct ans : get, prediction is: let
correct ans : am, prediction is: am
correct ans : heard, prediction is: heard
correct ans : said, prediction is: said
correct ans : answered, prediction is: believed
correct ans : seemed, prediction is: seemed
correct ans : said, prediction is: said
correct ans : know, prediction is: know
correct ans : said, prediction is: said
correct ans : came, prediction is: came
correct ans : take, prediction is: take
correct ans : turned, prediction is: turned
correct ans : sat, prediction is: sat
correct ans : let, prediction is: let
correct ans : know, prediction is: know
correct ans : found, prediction is: found
correct ans : came, prediction is: came
correct ans : said, prediction is: know
correct ans : replied, prediction is: went
correct ans : know, prediction is: thought
correct ans : said, prediction is: said
correct ans : am, prediction is: am
correct ans : came, prediction is: came
correct ans : know, prediction is: know
correct ans : saw, prediction is: saw
correct ans : slept, prediction is: slept
correct ans : am, prediction is: am
correct ans : make, prediction is: make
correct ans : made, prediction is: made
correct ans : walked, prediction is: walked
correct ans : run, prediction is: run
correct ans : let, prediction is: let
correct ans : come, prediction is: come
correct ans : smiling, prediction is: smiling
correct ans : knew, prediction is: knew
correct ans : seems, prediction is: seems
correct ans : find, prediction is: find
correct ans : fight, prediction is: look
correct ans : go, prediction is: go
correct ans : says, prediction is: says
correct ans : said, prediction is: said
correct ans : said, prediction is: said
correct ans : smiling, prediction is: smiling
correct ans : tied, prediction is: said
correct ans : killed, prediction is: killed
correct ans : gone, prediction is: gone
correct ans : see, prediction is: see
correct ans : tell, prediction is: tell
correct ans : see, prediction is: see
correct ans : said, prediction is: said
correct ans : said, prediction is: saw
correct ans : sat, prediction is: sat
correct ans : came, prediction is: came
correct ans : said, prediction is: said
correct ans : say, prediction is: say
correct ans : stood, prediction is: came
correct ans : returned, prediction is: returned
correct ans : go, prediction is: go
correct ans : let, prediction is: let
correct ans : think, prediction is: think
correct ans : said, prediction is: said
correct ans : came, prediction is: came
correct ans : came, prediction is: went
correct ans : disappear, prediction is: heard
correct ans : see, prediction is: see
correct ans : seen, prediction is: saw
correct ans : drew, prediction is: drew
correct ans : said, prediction is: said
correct ans : tell, prediction is: give
correct ans : ordered, prediction is: found
correct ans : said, prediction is: said
correct ans : marked, prediction is: made
correct ans : answered, prediction is: answered
correct ans : take, prediction is: take
correct ans : went, prediction is: went
correct ans : played, prediction is: played
correct ans : keep, prediction is: keep
correct ans : go, prediction is: go
correct ans : came, prediction is: 
correct ans : looked, prediction is: 's
correct ans : see, prediction is: see
correct ans : go, prediction is: go
correct ans : take, prediction is: take
correct ans : lay, prediction is: keep
correct ans : stay, prediction is: come
correct ans : said, prediction is: said
correct ans : told, prediction is: told
correct ans : think, prediction is: think
correct ans : happened, prediction is: happened
correct ans : is, prediction is: is
correct ans : give, prediction is: give
correct ans : said, prediction is: 
correct ans : get, prediction is: thought
correct ans : said, prediction is: said
correct ans : paid, prediction is: said
correct ans : spent, prediction is: lived
correct ans : said, prediction is: said
correct ans : look, prediction is: look
correct ans : know, prediction is: know
correct ans : says, prediction is: said
correct ans : said, prediction is: said
correct ans : says, prediction is: says
correct ans : am, prediction is: am
correct ans : gone, prediction is: keep
correct ans : said, prediction is: said
correct ans : expect, prediction is: expect
correct ans : tell, prediction is: tell
correct ans : said, prediction is: said
correct ans : said, prediction is: said
correct ans : said, prediction is: said
correct ans : shining, prediction is: shining
correct ans : said, prediction is: said
correct ans : come, prediction is: come
correct ans : think, prediction is: think
correct ans : said, prediction is: catch
correct ans : notice, prediction is: know
correct ans : set, prediction is: 
correct ans : know, prediction is: know
correct ans : said, prediction is: said
correct ans : converted, prediction is: washing
correct ans : making, prediction is: making
correct ans : replied, prediction is: 
correct ans : come, prediction is: come
correct ans : killed, prediction is: saw
correct ans : declared, prediction is: declared
correct ans : fell, prediction is: looked
correct ans : said, prediction is: said
correct ans : took, prediction is: took
correct ans : came, prediction is: came
correct ans : heard, prediction is: heard
correct ans : give, prediction is: give
correct ans : said, prediction is: said
correct ans : saw, prediction is: saw
correct ans : come, prediction is: come
correct ans : wrote, prediction is: said
correct ans : think, prediction is: think
correct ans : suggested, prediction is: laughed
correct ans : hear, prediction is: asked
correct ans : see, prediction is: 
correct ans : tell, prediction is: tell
correct ans : says, prediction is: 's
correct ans : said, prediction is: said
correct ans : came, prediction is: came
correct ans : let, prediction is: let
correct ans : came, prediction is: came
correct ans : told, prediction is: told
correct ans : see, prediction is: see
correct ans : see, prediction is: see
correct ans : see, prediction is: see
correct ans : heard, prediction is: heard
correct ans : taken, prediction is: taken
correct ans : took, prediction is: took
correct ans : said, prediction is: said
correct ans : replied, prediction is: replied
correct ans : laughed, prediction is: ran
correct ans : took, prediction is: took
correct ans : want, prediction is: think
correct ans : believe, prediction is: suppose
correct ans : find, prediction is: find
correct ans : heard, prediction is: seen
correct ans : said, prediction is: 
correct ans : wrote, prediction is: hear
correct ans : said, prediction is: said
correct ans : came, prediction is: came
